날짜,열차종,노선,여객수송실적
2020년 06월,새마을,전라선,39417
2020년 06월,새마을,중앙선,12624
2020년 06월,새마을,장항선,100344
2020년 06월,새마을,기타선,0
2020년 06월,무궁화,경부선,1309847
2020년 06월,무궁화,호남선,285273
2020년 06월,무궁화,전라선,364655
2020년 06월,무궁화,중앙선,151275
2020년 06월,무궁화,장항선,300945
2020년 06월,무궁화,태백선,97208
2020년 06월,무궁화,영동선,49908
2020년 06월,무궁화,충북선,162116
2020년 06월,무궁화,경북선,16360
2020년 06월,무궁화,대구선,20878
2020년 06월,무궁화,동해남부선,227198
2020년 06월,무궁화,동해선,10255
2020년 06월,무궁화,경전선,93144
2020년 06월,무궁화,기타선,0
2020년 06월,통근열차,경원선,0
2020년 06월,통근열차,호남선,10258
2020년 07월,KTX,경부선,2094858
2020년 07월,KTX,호남선,606975
2020년 07월,KTX,전라선,443923
2020년 07월,KTX,경전선,424360
2020년 07월,KTX,동해선,353498
2020년 07월,준고속,강릉선,361737
2020년 07월,새마을,경부선,336711
2020년 07월,새마을,호남선,122924
2020년 07월,새마을,전라선,43159
2020년 07월,새마을,중앙선,14549
2020년 07월,새마을,장항선,114202
2020년 07월,새마을,기타선,0
2020년 07월,무궁화,경부선,1400948
2020년 07월,무궁화,호남선,284941
2020년 07월,무궁화,전라선,377067
2020년 07월,무궁화,중앙선,164115
2020년 07월,무궁화,장항선,312985
2020년 07월,무궁화,태백선,108300
2020년 07월,무궁화,영동선,56016
2020년 07월,무궁화,충북선,170731
2020년 07월,무궁화,경북선,18102
2020년 07월,무궁화,대구선,25884
2020년 07월,무궁화,동해남부선,256423
2020년 07월,무궁화,동해선,12629
2020년 07월,무궁화,경전선,99621
2020년 07월,무궁화,기타선,0
2020년 07월,통근열차,경원선,0
2020년 07월,통근열차,호남선,8773
2020년 08월,KTX,경부선,1947832
2020년 08월,KTX,호남선,598573
2020년 08월,KTX,전라선,423574
2020년 08월,KTX,경전선,381750
2020년 08월,KTX,동해선,334073
2020년 08월,준고속,강릉선,354196
2020년 08월,새마을,경부선,336660
2020년 08월,새마을,호남선,119251
2020년 08월,새마을,전라선,47160
2020년 08월,새마을,중앙선,13752
2020년 08월,새마을,장항선,104898
2020년 08월,새마을,기타선,4805
2020년 08월,무궁화,경부선,1307564
2020년 08월,무궁화,호남선,271868
2020년 08월,무궁화,전라선,350277
2020년 08월,무궁화,중앙선,146496
2020년 08월,무궁화,장항선,254199
2020년 08월,무궁화,태백선,30075
2020년 08월,무궁화,영동선,38214
2020년 08월,무궁화,충북선,88786
2020년 08월,무궁화,경북선,18199
2020년 08월,무궁화,대구선,27784
2020년 08월,무궁화,동해남부선,252573
2020년 08월,무궁화,동해선,14905
2020년 08월,무궁화,경전선,88659
2020년 08월,무궁화,기타선,0
2020년 08월,통근열차,경원선,0
2020년 08월,통근열차,호남선,9001
2020년 09월,KTX,경부선,1370092
2020년 09월,KTX,호남선,446142
2020년 09월,KTX,전라선,305996
2020년 09월,KTX,경전선,289496
2020년 09월,KTX,동해선,238120
2020년 09월,준고속,강릉선,211465
2020년 09월,새마을,경부선,255338
2020년 09월,새마을,호남선,95090
2020년 09월,새마을,전라선,33341
2020년 09월,새마을,중앙선,9776
2020년 09월,새마을,장항선,75345
2020년 09월,새마을,기타선,2307
2020년 09월,무궁화,경부선,1084615
2020년 09월,무궁화,호남선,230586
2020년 09월,무궁화,전라선,280879
2020년 09월,무궁화,중앙선,115719
2020년 09월,무궁화,장항선,224834
2020년 09월,무궁화,태백선,59293
2020년 09월,무궁화,영동선,30258
2020년 09월,무궁화,충북선,120590
2020년 09월,무궁화,경북선,13812
2020년 09월,무궁화,대구선,19771
2020년 09월,무궁화,동해남부선,183019
2020년 09월,무궁화,동해선,8223
2020년 09월,무궁화,경전선,75747
2020년 09월,무궁화,기타선,0
2020년 09월,통근열차,경원선,0
2020년 09월,통근열차,호남선,7925
2020년 10월,KTX,경부선,1908758
2020년 10월,KTX,호남선,628544
2020년 10월,KTX,전라선,438540
2020년 10월,KTX,경전선,403500
2020년 10월,KTX,동해선,322661
2020년 10월,준고속,강릉선,305886
2020년 10월,새마을,경부선,346713
2020년 10월,새마을,호남선,132791
2020년 10월,새마을,전라선,49207
2020년 10월,새마을,중앙선,18679
2020년 10월,새마을,장항선,112257
2020년 10월,새마을,기타선,10949
2020년 10월,무궁화,경부선,1349323
2020년 10월,무궁화,호남선,299357
2020년 10월,무궁화,전라선,373429
2020년 10월,무궁화,중앙선,155294
2020년 10월,무궁화,장항선,294087
2020년 10월,무궁화,태백선,104054
2020년 10월,무궁화,영동선,52721
2020년 10월,무궁화,충북선,165406
2020년 10월,무궁화,경북선,19530
2020년 10월,무궁화,대구선,25795
2020년 10월,무궁화,동해남부선,243254
2020년 10월,무궁화,동해선,10423
2020년 10월,무궁화,경전선,106049
2020년 10월,무궁화,기타선,0
2020년 10월,통근열차,경원선,0
2020년 10월,통근열차,호남선,11504
